"","organisation_country","organisation_name","no_projects"
"1209","United Kingdom","Falmouth University",1
"1210","United Kingdom","Gama Healthcare Ltd",1
"1211","United Kingdom","Global Alliance for Livestock Veterinary Medicines",1
"1212","United Kingdom","Global Sepsis Alliance",1
"1213","United Kingdom","Guy's & St Thomas' NHS Foundation Trust",1
"1214","United Kingdom","Guy's &amp; St Thomas' Hospital Trust",1
"1215","United Kingdom","Guy's and St Thomas' NHS Foundation Trust",1
"1216","United Kingdom","Hansard Society",1
"1217","United Kingdom","HEALTH AND SAFETY EXECUTIVE",1
"1218","United Kingdom","HR WALLINGFORD",1
"1219","United Kingdom","INSTITUTE FOR FISCAL STUDIES",1
"1220","United Kingdom","Integrated Transport Planning Ltd",1
"1221","United Kingdom","Interburns",1
"1222","United Kingdom","INTERNATIONAL INSTITUTE FOR ENVIRONMENT AND DEVELOPMENT",1
"1223","United Kingdom","International Medical Corps UK",1
"1224","United Kingdom","International Primary Care Respiratory Group",1
"1225","United Kingdom","KEELE UNIVERSITY",1
"1226","United Kingdom","King's College Hospital Charitable Trust",1
"1227","United Kingdom","Kpad Ltd",1
"1228","United Kingdom","Lancashire Care NHS Foundation Trust",1
"1229","United Kingdom","LEEDS BECKETT UNIVERSITY",1
"1230","United Kingdom","Leeds Teaching Hospitals NHS Trust",1
"1231","United Kingdom","Leprosy Mission England and Wales",1
"1232","United Kingdom","Leprosy Mission International",1
"1233","United Kingdom","Linda Norgrove Foundation",1
"1234","United Kingdom","London School Of Economics And Political Science",1
"1235","United Kingdom","London School of Economics and Political Science (LSE)",1
"1236","United Kingdom","LTS International Ltd",1
"1237","United Kingdom","MannionDaniels",1
"1238","United Kingdom","Mercy Corps Europe",1
"1239","United Kingdom","MHRA Medicines & Health Care Products Re",1
"1240","United Kingdom","MIDDLESEX UNIVERSITY",1
"1241","United Kingdom","Molecular WarehouSE Ltd.",1
"1242","United Kingdom","Moorfields Eye Hosp NHS Foundation Trust",1
"1243","United Kingdom","Muslim Aid",1
"1244","United Kingdom","NATIONAL INSTITUTE OF AGRICULTURAL BOTANY",1
"1245","United Kingdom","Natural History Museum",1
"1246","United Kingdom","NERC British Antarctic Survey",1
"1247","United Kingdom","NHS Lanarkshire",1
"1248","United Kingdom","NHS Tayside",1
"1249","United Kingdom","Nimrod Veterinary Products Limited",1
"1250","United Kingdom","North Bristol Nhs Trust",1
"1251","United Kingdom","Northumbria Healthcare NHS Foundat Trust",1
"1252","United Kingdom","NorthWest Biopharm",1
"1253","United Kingdom","ODI",1
"1254","United Kingdom","Oppilotech Ltd",1
"1255","United Kingdom","Oxford Drug Design Limited",1
"1256","United Kingdom","Oxford Nanopore Technologies",1
"1257","United Kingdom","Oxford Vacmedix UK Limited",1
"1258","United Kingdom","Parents' Education as Autism Therapists",1
"1259","United Kingdom","Pegasys Limited",1
"1260","United Kingdom","Phoenix Medical Ltd.",1
"1261","United Kingdom","Plymouth Hospital NHS Trust",1
"1262","United Kingdom","PLYMOUTH MARINE LABORATORY",1
"1263","United Kingdom","Pump Priming fund for LMIC",1
"1264","United Kingdom","Royal Liverpool and Broadgreen University Hospital NHS Trust",1
"1265","United Kingdom","ROYAL VETERINARY COLLEGE",1
"1266","United Kingdom","RSPB",1
"1267","United Kingdom","Save The Children UK",1
"1268","United Kingdom","Sheffield Children's NHS Foundation Trust",1
"1269","United Kingdom","SHEFFIELD HALLAM UNIVERSITY",1
"1270","United Kingdom","Sheffield Teaching Hospital",1
"1271","United Kingdom","SIGHTSAVERS",1
"1272","United Kingdom","STAFFORDSHIRE UNIVERSITY",1
"1273","United Kingdom","Tearfund",1
"1274","United Kingdom","The Encephalitis Society",1
"1275","United Kingdom","The Jenner Institute, University of Oxford",1
"1276","United Kingdom","THE OPEN UNIVERSITY",1
"1277","United Kingdom","The University of Glasgow",1
"1278","United Kingdom","The University of Nottingham",1
"1279","United Kingdom","The University of Sheffield",1
"1280","United Kingdom","The Vaccine Group Limited",1
"1281","United Kingdom","UK - Foreign, Commonwealth and Development Office",1
"1282","United Kingdom","University College Dublin",1
"1283","United Kingdom","University Hospitals Bristol NHS Foundation Trust",1
"1284","United Kingdom","University Hospitals of Leicester NHS Trust",1
"1285","United Kingdom","UNIVERSITY OF BEDFORDSHIRE",1
"1286","United Kingdom","UNIVERSITY OF BOLTON",1
"1287","United Kingdom","UNIVERSITY OF CHESTER",1
"1288","United Kingdom","UNIVERSITY OF DUNDEE",1
"1289","United Kingdom","UNIVERSITY OF LINCOLN",1
"1290","United Kingdom","UNIVERSITY OF LONDON",1
"1291","United Kingdom","University of Northampton",1
"1292","United Kingdom","UNIVERSITY OF NORTHAMPTON",1
"1293","United Kingdom","UNIVERSITY OF SOUTH WALES",1
"1294","United Kingdom","University of Wales, Lampeter",1
"1295","United Kingdom","University of West London",1
"1296","United Kingdom","UNIVERSITY OF WESTMINSTER",1
"1297","United Kingdom","University of Wolverhampton",1
"1298","United Kingdom","UNIVERSITY OF WORCESTER",1
"1299","United Kingdom","Wellcome Trust Sanger Institute",1
"1300","United Kingdom","Welsh Wound Innovation Ltd",1
"1301","United Kingdom","William Harvey Research Institute",1
"1302","United Kingdom","Worldwide Radiology",1
"1303","United States","GSMA Foundation",21
"1304","United States","Harvard University",10
"1305","United States","Duke University",5
"1306","United States","International Food Policy Research Institute",5
"1307","United States","Johns Hopkins University",5
"1308","United States","New York University",5
"1309","United States","University of California, Berkeley",5
"1310","United States","Busara Center for Behavioral Economics",4
"1311","United States","Columbia University",4
"1312","United States","George Washington University",4
"1313","United States","Johns Hopkins School of Public Health",4
"1314","United States","PATH",4
"1315","United States","Stanford University",4
"1316","United States","Acumen",3
"1317","United States","Brigham and Women's Hospital",3
"1318","United States","Tufts University",3
"1319","United States","University of California Los Angeles",3
"1320","United States","University of California, San Francisco",3
"1321","United States","University of Michigan",3
"1322","United States","University of Minnesota",3
"1323","United States","University of Pennsylvania",3
"1324","United States","Yale University",3
"1325","United States","Abdul Latif Jameel Poverty Action Lab at MIT",2
"1326","United States","Aeras",2
"1327","United States","American University",2
"1328","United States","CLASP",2
"1329","United States","Cornell University",2
"1330","United States","HealthRight International",2
"1331","United States","Heartland Alliance International",2
"1332","United States","Ipas",2
"1333","United States","Johns Hopkins University Sch of Medicine",2
"1334","United States","National Institutes of Health",2
"1335","United States","Northwestern University",2
"1336","United States","Population Council",2
"1337","United States","The Asia Foundation",2
"1338","United States","The Population Council, Inc.",2
"1339","United States","University of California, Irvine",2
"1340","United States","University of Rochester",2
"1341","United States","University of Washington",2
"1342","United States","Washington State University",2
"1343","United States","Washington University in St Louis",2
"1344","United States","African Center for Economic Transformation (ACET)",1
"1345","United States","African Population and Health Research Center",1
"1346","United States","Aga Khan Foundation",1
"1347","United States","Beth Israel Deaconess Medical Center",1
"1348","United States","Boston College",1
"1349","United States","Boston University",1
"1350","United States","Brown University",1
"1351","United States","Chemonics International Inc",1
"1352","United States","Clinton Health Access Initiative",1
"1353","United States","Dr Kevin Bardosh, University of Washington",1
"1354","United States","Drexel University",1
"1355","United States","Emory University",1
"1356","United States","Georgetown University",1
"1357","United States","Gynuity Health Projects",1
"1358","United States","Health Effects Institute",1
"1359","United States","Hunter College CUNY",1
"1360","United States","IDinsight",1
"1361","United States","Innovations for Poverty Action",1
"1362","United States","Int Food Policy Research Inst",1
"1363","United States","Integrated BioTherapeutics (IBT)",1
"1364","United States","International Initiative for Impact Evaluation",1
"1365","United States","Kansas State University",1
"1366","United States","Marquette University",1
"1367","United States","Massachusetts Institute of Technology",1
"1368","United States","Michigan State University",1
"1369","United States","Michigan Technological University",1
"1370","United States","Montana State University",1
"1371","United States","Pennsylvania State University",1
"1372","United States","Physicians for Human Rights",1
"1373","United States","Princeton University",1
"1374","United States","Purdue University",1
"1375","United States","Results for Development",1
"1376","United States","Rice University",1
"1377","United States","Social Science Research Council",1
"1378","United States","TB Alliance",1
"1379","United States","The Ohio State University",1
"1380","United States","Tulane University",1
"1381","United States","UNICEF",1
"1382","United States","United Nations",1
"1383","United States","United Nations Development Programme",1
"1384","United States","United States International University",1
"1385","United States","University of Arizona",1
"1386","United States","University of California, Riverside",1
"1387","United States","University of California, San Diego",1
"1388","United States","University of Chicago",1
"1389","United States","University of Connecticut",1
"1390","United States","University of Delaware",1
"1391","United States","University of Illinois at Chicago",1
"1392","United States","University of Maryland",1
"1393","United States","University of Nebraska Medical Center",1
"1394","United States","University of New Mexico",1
"1395","United States","University of Oregon",1
"1396","United States","University of Southern California",1
"1397","United States","University of Vermont",1
"1398","United States","Washington University in St. Louis",1
"1399","United States","Western Human Nutrition Research Center",1
"1400","United States","Wildlife Conservation Society",1
"1401","United States","Women's Refugee Commission",1
"1402","United States","World Bank",1
"1403","Uruguay","University of the Republic",1
"1404","Uzbekistan","National University of Uzbekistan",1
"1405","Vanuatu","World Vision Vanuatu",1
"1406","Vietnam","Vietnam Academy of Science and Technolog",5
"1407","Vietnam","OUCRU Vietnam",4
"1408","Vietnam","Vietnam National University",4
"1409","Vietnam","Can Tho University",3
"1410","Vietnam","Hanoi School of Public Health",2
"1411","Vietnam","Vietnam Atomic Energy Institute",2
"1412","Vietnam","Vietnam National University Ho Chi Minh",2
"1413","Vietnam","An Giang University",1
"1414","Vietnam","Centre for Analysis and Forecasting, Vietnamese Academy of Social Sciences",1
"1415","Vietnam","Cho Ray Hospital",1
"1416","Vietnam","Hanoi Medical University",1
"1417","Vietnam","Hanoi National University of Education",1
"1418","Vietnam","Ho Chi Minh City University of Transport",1
"1419","Vietnam","Hoa Sen University",1
"1420","Vietnam","Hue University",1
"1421","Vietnam","National Institute of Education Management",1
"1422","Vietnam","National Institute of Nutrition",1
"1423","Vietnam","National University of Civil Engineering, Vietnam",1
"1424","Vietnam","Nha Trang University",1
"1425","Vietnam","Phenikaa University",1
"1426","Vietnam","Vietnam Academy for Water Resources",1
"1427","Vietnam","Vietnam Academy of Agricultural Sciences",1
"1428","Vietnam","Vietnam Inst.  of Fisheries Econ. & Plan",1
"1429","Vietnam","Vietnam Institute of Animal Science",1
"1430","Vietnam","Vietnam Ministry of Natural Resources",1
"1431","Vietnam","Vietnam National Uni of Agriculture",1
"1432","Zambia","University of Zambia",8
"1433","Zambia","Zambart",3
"1434","Zambia","Copperbelt University",2
"1435","Zambia","Zambia Inst for Pol Analysis & Res ZIPAR",2
"1436","Zambia","Engie PowerCorner Zambia Limited",1
"1437","Zambia","Lusaka Apex Medical University and Levy Mwanawasa Teaching Hospital",1
"1438","Zambia","Ministry of Health of Republic of Zambia",1
"1439","Zambia","Tropical Diseases Research Centre Zambia",1
"1440","Zambia","Tropical Gastroenterology and Nutrition Group, University of Zambia",1
"1441","Zambia","University of Zambia, School of Public Health",1
"1442","Zambia","University Teaching Hospital Lusaka",1
"1443","Zambia","Zambia Institute for Policy Analysis and Research",1
"1444","Zimbabwe","University of Zimbabwe",19
"1445","Zimbabwe","Chinhoyi University of Technology",2
"1446","Zimbabwe","Midlands State University",2
"1447","Zimbabwe","Women's University in Africa",2
"1448","Zimbabwe","Bindura University of Science Education",1
"1449","Zimbabwe","Biomedical Research and Training Inst",1
"1450","Zimbabwe","Centre for Sexual Health and HIV AIDS Research Zimbabwe",1
"1451","Zimbabwe","CeSHHAR Zimbabwe",1
"1452","Zimbabwe","Ministry of Health and Child Welfare",1
"1453","Zimbabwe","Training and Research Support Centre (TARSC)",1
"1454","Zimbabwe","Zimbabwe Artisanal Mining Council",1
"1455","Zimbabwe","Zimbabwe Congress of Trade Unions/ Zimbabwe Chamber of Informal Economy Associations",1
"1456","Zimbabwe","Zimbabwe Ezekiel Guti University",1
"1457","Zimbabwe","Zvitambo Institute for Maternal and Child Health Research",1
"1458",NA,"UK Ctr for Ecology & Hydrology fr 011219",32
"1459",NA,"University of Sao Paolo",15
"1460",NA,"Overseas Development Inst ODI (Internat)",11
"1461",NA,"NARIT",10
"1462",NA,"African Population and Health Res Centre",9
"1463",NA,"University of Gadjah Mada",9
"1464",NA,"FIOCRUZ",8
"1465",NA,"LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE",8
"1466",NA,"National Oceanography Centre (WEF011019)",8
"1467",NA,"The Wellcome Trust  Sanger Institute",8
"1468",NA,"NIMHANS",7
"1469",NA,"The George Institute for Global Health",7
"1470",NA,"University of Padjadjaran",7
"1471",NA,"AgResults",6
"1472",NA,"ICDDRB",6
"1473",NA,"International Water Management Institute (IWMI)",6
"1474",NA,"National Inst of Agricultural Botany",6
"1475",NA,"Federal University of Ceara",5
"1476",NA,"Nutrition Research Institute",5
"1477",NA,"Pontifical Catholic Un of Rio de Janeiro",5
"1478",NA,"Wits Health Consortium",5
"1479",NA,"Catholic University of Health and Allied",4
"1480",NA,"Centre de recherches pour le développement international",4
"1481",NA,"Centro Internacional de Investigaciones para el Desarrollo",4
"1482",NA,"Christian Medical College Vellore",4
"1483",NA,"FANRPAN",4
"1484",NA,"Federal University of Maranhao",4
"1485",NA,"Health Research and Social Development",4
"1486",NA,"Khyber Medical University (KMU)",4
"1487",NA,"Kwame Nkrumah Uni of Science & Tech",4
"1488",NA,"Mahidol Oxford Research Unit",4
"1489",NA,"Mbarara University of Sci and Tech",4
"1490",NA,"Mwanza Intervention Centre",4
"1491",NA,"Nelson Mandela African Institute for Science and Technology",4
"1492",NA,"Peking University Health Science Centre",4
"1493",NA,"Aga Khan University (Nairobi)",3
"1494",NA,"Center for Disease Dynamics, Economics &",3
"1495",NA,"CREEC",3
"1496",NA,"Federal University of Sao Paulo",3
"1497",NA,"FRAME",3
"1498",NA,"GOLDSMITHS, UNIVERSITY OF LONDON",3
"1499",NA,"HERD International",3
"1500",NA,"INAOE",3
"1501",NA,"Infectious Diseases Institute Limited",3
"1502",NA,"Innovations for Poverty Action (IPA)",3
"1503",NA,"Inst for Research & Dialogue for Peace",3
"1504",NA,"Kilimanjaro Christian Medical College",3
"1505",NA,"Kilimanjaro Clinical Res Institute KCRI",3
"1506",NA,"Kulima Integrated Development Solutions",3
"1507",NA,"Latin American Social Sci Inst (FLACSO)",3
"1508",NA,"Lusaka University Teaching Hospital",3
"1509",NA,"Manipal University",3
"1510",NA,"Maynooth University",3
"1511",NA,"Muhimbili Uni of Health and Allied Sci",3
"1512",NA,"Ndola Central Hospital",3
"1513",NA,"NIVEDI",3
"1514",NA,"Pontificia University Javeriana",3
"1515",NA,"San Francisco de Quito University (USFQ)",3
"1516",NA,"UCT Lung Institute (Pty) Ltd",3
"1517",NA,"University Cheikh Anta Diop de Dakar",3
"1518",NA,"University of British Columbia (UBC)",3
"1519",NA,"University of Sebelas Maret",3
"1520",NA,"University of the Valley",3
"1521",NA,"World Conservation Monitoring Ctr WCMC",3
"1522",NA,"60 Decibels",2
"1523",NA,"AIRBUS",2
"1524",NA,"All-Story",2
"1525",NA,"Ambedkar University of the Govt of Delhi",2
"1526",NA,"Amparo",2
"1527",NA,"Asian Management and Development Institu",2
"1528",NA,"AVRDC-The World Vegetable Center",2
"1529",NA,"Bangabandhu Sheikh Mujib Medical Uni",2
"1530",NA,"BFA Global",2
"1531",NA,"Brink",2
"1532",NA,"Catalan Institute of Oncology",2
"1533",NA,"Center for the Study of Humanitarian Law",2
"1534",NA,"Centre for Cellular & Molecular Biology",2
"1535",NA,"CENTRE FOR ENVIRONMENT FISHERIES AND AQUACULTURE SCIENCE",2
"1536",NA,"Centro Mineiro de Alianças Intersetorias",2
"1537",NA,"CEPRISE-PHD-UPN",2
"1538",NA,"Chittagong Vet & Animal Sci University",2
"1539",NA,"Direct Focus Community Aid",2
"1540",NA,"Federal University of Goias",2
"1541",NA,"Federal University of Paraiba",2
"1542",NA,"Federal University of Sao Carlos",2
"1543",NA,"Foundation for Tolerance International",2
"1544",NA,"Free (VU) University of Amsterdam",2
"1545",NA,"GALVMED",2
"1546",NA,"Global Public Policy Institute GPPI",2
"1547",NA,"GSMA",2
"1548",NA,"Hanoi University of Agriculture",2
"1549",NA,"Ho Chi Minh Oncological Hospital",2
"1550",NA,"Human Rights Film Center (HRFC)",2
"1551",NA,"Humanity & Inclusion",2
"1552",NA,"ICF International",2
"1553",NA,"IGAD Climate Predict & App Cent (ICPAC)",2
"1554",NA,"Infectious Diseases Res Collaboration",2
"1555",NA,"Innovations for Poverty Action",2
"1556",NA,"Inst of Epidemiology Disease Contl & Res",2
"1557",NA,"Inst.of Dev & Econ Alternatives (IDEAS)",2
"1558",NA,"Institut National des Arts (INA)",2
"1559",NA,"Institute for Financial Management and Research (IFMR)",2
"1560",NA,"Institute of Business Administration",2
"1561",NA,"Institute of Tropical Medicine",2
"1562",NA,"Int Ctr of Insect Physiology and Ecology",2
"1563",NA,"International Food Policy Research institute (IFPRI)",2
"1564",NA,"International Food Policy Research Institute (IFPRI)",2
"1565",NA,"International Rescue Committee (IRC)",2
"1566",NA,"J-PAL Latin America and the Caribbean",2
"1567",NA,"J-PAL South Asia",2
"1568",NA,"J-PAL Southeast Asia",2
"1569",NA,"JLU GLIESSEN (TECH SUPPORT)",2
"1570",NA,"Joint Clinical Research Centre Kampala",2
"1571",NA,"KEM Hospital Research Centre Pune",2
"1572",NA,"KEMRI-Wellcome Trust Research Programme",2
"1573",NA,"King Mongkut’s Ins of Tech Ladkrabang",2
"1574",NA,"Laajverd",2
"1575",NA,"Mahatma Gandhi Inst of Medical Scieces",2
"1576",NA,"Makerere University School of Public Health",2
"1577",NA,"Massachusetts Institute of Technology (MIT)",2
"1578",NA,"Ministry of Health",2
"1579",NA,"Mobile Power Ltd",2
"1580",NA,"Mohammad V University of Rabat",2
"1581",NA,"Mulago University Teaching Hospital",2
"1582",NA,"Murdoch Childrens Research Institute",2
"1583",NA,"Nat Sci and Technical Res (CONICET)",2
"1584",NA,"National Hospital for Tropical Diseases",2
"1585",NA,"National Institute Animal Biotech (NIAB)",2
"1586",NA,"Natl Inst of Hygiene and Epidemiology",2
"1587",NA,"NIAB",2
"1588",NA,"OPHID (Org for Public Heath Interv &Dev)",2
"1589",NA,"PATH",2
"1590",NA,"Phutung Research Institute",2
"1591",NA,"Policy Studies Institute",2
"1592",NA,"Pratham (Education Foundation)",2
"1593",NA,"Royal Botanic Gardens Edinburgh",2
"1594",NA,"ROYAL BOTANIC GARDENS KEW",2
"1595",NA,"ROYAL HOLLOWAY, UNIVERSITY OF LONDON",2
"1596",NA,"Royal Women's Hospital Melbourne",2
"1597",NA,"Sanyu Africa Research Insitute",2
"1598",NA,"Shujaaz",2
"1599",NA,"Sitaram Bhartia Inst of Science & Res",2
"1600",NA,"Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST)",2
"1601",NA,"St John's National Academy of Health Sci",2
"1602",NA,"St. John's Medical College",2
"1603",NA,"State University of Campinas (UNICAMP)",2
"1604",NA,"The INCLEN Trust International",2
"1605",NA,"The Islamic University of Gaza",2
"1606",NA,"The Regents of the University of California",2
"1607",NA,"The University of Chicago",2
"1608",NA,"u",2
"1609",NA,"UK SPACE AGENCY",2
"1610",NA,"University of Michigan",2
"1611",NA,"University of Petra",2
"1612",NA,"University of Stockholm",2
"1613",NA,"University of Swaziland",2
"1614",NA,"<U+200B>PowerGen Renewable Energy",1
"1615",NA,"108-Center Military Hospital",1
"1616",NA,"Ab5 Consulting Ltd",1
"1617",NA,"Abacusbio International Limited",1
"1618",NA,"Abiye Maternal & Child Health Foundation",1
"1619",NA,"Aceso Global",1
"1620",NA,"ACTREC (Tata Memorial Centre)",1
"1621",NA,"ACTS",1
"1622",NA,"Acumen Resilient Agriculture Fund",1
"1623",NA,"Adolfo Lutz Institute",1
"1624",NA,"Adrienne Lucas",1
"1625",NA,"Africa Power Ltd",1
"1626",NA,"Africa118",1
"1627",NA,"African Economic Research Centre",1
"1628",NA,"African Leadership Centre",1
"1629",NA,"African Migration and Dev Policy Centre",1
"1630",NA,"African Origins UK Limited",1
"1631",NA,"African Rice Center (AfricaRice)",1
"1632",NA,"African School of Economics",1
"1633",NA,"Agency Research Development Initiative",1
"1634",NA,"AGRHYMET",1
"1635",NA,"AGRI-EPI CENTRE LIMITED",1
"1636",NA,"AGRICOMPAS",1
"1637",NA,"Agromall",1
"1638",NA,"Aide a la Decision Economique (ADE)",1
"1639",NA,"AIMS",1
"1640",NA,"Airponix Ltd",1
"1641",NA,"Al Quds University",1
"1642",NA,"Alexander von Humboldt Institute",1
"1643",NA,"Aligrah Muslim University",1
"1644",NA,"Alistair Wray",1
"1645",NA,"All Saints University Lango (ASUL)",1
"1646",NA,"ALMAC",1
"1647",NA,"Altech Group (Alternative Energy Technologies Group)",1
"1648",NA,"Amita Bhakta - Consultant",1
"1649",NA,"Amrita Institute of Medical Sciences",1
"1650",NA,"Anand Agricultural Universirty",1
"1651",NA,"ANTHRA",1
"1652",NA,"Arbeiter-Samariter-Bund Deutschland E.V.",1
"1653",NA,"Arecor",1
"1654",NA,"Arkansas University - Little Rock",1
"1655",NA,"Asian Institute of Public Health (AIPH)",1
"1656",NA,"Atma Jaya Catholic University",1
"1657",NA,"ATScale",1
"1658",NA,"Aurigene",1
"1659",NA,"AVANTI COMMUNICATIONS",1
"1660",NA,"Bach Mai Hospital",1
"1661",NA,"Baghdad Teaching Hospital/Medical City",1
"1662",NA,"Bahia State University (UNEB)",1
"1663",NA,"Bangabandhu S Mujibur Rahman Agri Univ",1
"1664",NA,"BAOBAB",1
"1665",NA,"Beihang University (BUAA)",1
"1666",NA,"Benefits Association PRISMA",1
"1667",NA,"Bengal Engineering College",1
"1668",NA,"BEROC Economic Research Center",1
"1669",NA,"Bharati Vidyapeeth Uni Medical College",1
"1670",NA,"Bidhaa Sasa",1
"1671",NA,"Bikash Shrot Kendra",1
"1672",NA,"BioLite Inc.",1
"1673",NA,"Biomedical Research Training Institute (BRTI)",1
"1674",NA,"Biopolymer Solutions Limited",1
"1675",NA,"Biopower Technologies Limited",1
"1676",NA,"Birmingham University",1
"1677",NA,"Bodastage Solutions Limited",1
"1678",NA,"Bogazici University",1
"1679",NA,"Bondo University College",1
"1680",NA,"BRAC (International)",1
"1681",NA,"Brac Institute of Governance and Development",1
"1682",NA,"BRAC Institute of Governance and Development",1
"1683",NA,"BRAC James P Grant School of Public Health, BRAC University",1
"1684",NA,"Brandeis University",1
"1685",NA,"Brandenburg University of Technology at",1
"1686",NA,"Brink Innovation Ltd",1
"1687",NA,"Briter Bridges",1
"1688",NA,"British Geological Survey (NERC)",1
"1689",NA,"Brown University",1
"1690",NA,"Buklod Tao, Inc.",1
"1691",NA,"BURN Manufacturing Co.",1
"1692",NA,"Busara Centre for Behavioural Economics",1
"1693",NA,"Butantan Institute",1
"1694",NA,"C.A.B. International Limited",1
"1695",NA,"Calpoly",1
"1696",NA,"Cambivac Ltd",1
"1697",NA,"Cambridge Ink Technology Ltd",1
"1698",NA,"Campbell Collaboration South Asia",1
"1699",NA,"Cancer Institute of the Sao Paulo State",1
"1700",NA,"CAPRISA",1
"1701",NA,"Cardano development",1
"1702",NA,"CARE",1
"1703",NA,"Caribou Digital (UK) Ltd",1
"1704",NA,"CARIBOU SPACE",1
"1705",NA,"Catalyst Initiatives",1
"1706",NA,"CCAFS Secretariat",1
"1707",NA,"CEEEZ",1
"1708",NA,"CEHURD",1
"1709",NA,"CEMADEN",1
"1710",NA,"Center for Disaster Preparedness Foundation, Inc.",1
"1711",NA,"Center for Eng and Industrail  (CIDESI)",1
"1712",NA,"Center for Global Development (CGD)",1
"1713",NA,"Center for Local Governance and Research",1
"1714",NA,"Center for Research and Advanced Studies",1
"1715",NA,"Center for Strategic Studies",1
"1716",NA,"Center for Study Equity and Governance",1
"1717",NA,"Center for Urban Research & Innovations",1
"1718",NA,"Center International Forestry Research",1
"1719",NA,"Center of Climate Change and Development",1
"1720",NA,"Central African Institute of Statistics, Economic and Social Studies (ICASEES)",1
"1721",NA,"Centre de Sciences Humaines",1
"1722",NA,"Centre for African Bio-Entrepeneurship",1
"1723",NA,"Centre for Budget and Policy Studies",1
"1724",NA,"Centre for Ecnomic and Social Studies",1
"1725",NA,"Centre for Economic and Social Development",1
"1726",NA,"Centre for Migration ResearchDevelopment",1
"1727",NA,"Centre for Population Health & Dev",1
"1728",NA,"Centre for Public Health Kinetics (CPHK)",1
"1729",NA,"Centre for Research on Governance (CPGD)",1
"1730",NA,"Centre for Virus Research, University of Glasgow with Jenner Institute, University of Oxford",1
"1731",NA,"Centre National de Formation et de Recherche en Sante Rurale (CNFRSR) de Maferinyah",1
"1732",NA,"Centre pour la Gouvernance Démocratique",1
"1733",NA,"Centro de Estudios Monetarios y Financieros (CEMFI)",1
"1734",NA,"Centro de Investigacion y Docencia Economicas (CIDE)",1
"1735",NA,"CGI IT UK",1
"1736",NA,"CGIAR Research Programmes on Agriculture",1
"1737",NA,"Challenge Local Dev Research Institute",1
"1738",NA,"Change Managers International Network",1
"1739",NA,"Charles River Laboratories",1
"1740",NA,"Child Health Research Foundation CHRF",1
"1741",NA,"Chinese Academy of Medical Sciences",1
"1742",NA,"CIDRZ",1
"1743",NA,"CIMNE International Centre",1
"1744",NA,"Cincinnati Children's Hospital",1
"1745",NA,"CINEP",1
"1746",NA,"CIRAD",1
"1747",NA,"City of Sci Res and Tech Applications",1
"1748",NA,"CLASP",1
"1749",NA,"Climate Care",1
"1750",NA,"CLIVE WILKINSON",1
"1751",NA,"CMRD Centre for Migration Research &Dev",1
"1752",NA,"CNRFP",1
"1753",NA,"CNRS - Delegation Midi-Pyrenees",1
"1754",NA,"CNRS - Délégation Régionale Côte d'Azur",1
"1755",NA,"CNRS Centre National de la Recherche Scientifique",1
"1756",NA,"CNRS CESDIP",1
"1757",NA,"Cocody University Houphouet Boigny",1
"1758",NA,"Coda Cerva",1
"1759",NA,"Collective for Social Science Research",1
"1760",NA,"College of Development Studies (CDS)",1
"1761",NA,"College of Health Sciences, OAU",1
"1762",NA,"College of Medicine and Allied Health Sciences",1
"1763",NA,"College of Sonora",1
"1764",NA,"Columbia University",1
"1765",NA,"Congo Helping Hands",1
"1766",NA,"Connexus",1
"1767",NA,"Conservation &Ecosystem Health Alliance",1
"1768",NA,"Consortium for Development Policy Research",1
"1769",NA,"COPPE - UFRJ",1
"1770",NA,"CORDIO East Africa",1
"1771",NA,"CREAD",1
"1772",NA,"Creativenergie",1
"1773",NA,"CREATIVenergie",1
"1774",NA,"CRES (Centre for Nat.Res.&Env.Studies)",1
"1775",NA,"CRISP",1
"1776",NA,"Crop Health and Protection Limited",1
"1777",NA,"CrossBoundary",1
"1778",NA,"CSIR-Central Drug Research Institute",1
"1779",NA,"CTIT",1
"1780",NA,"Ctr for Cellular & Molecular Platforms",1
"1781",NA,"Ctr for Frugal Innovation in Africa CFIA",1
"1782",NA,"Ctr for Mental Health Res (CEMHRI)",1
"1783",NA,"Ctr Tropical Agronomico of Investigation",1
"1784",NA,"Dahdaleh Institute for Global Health Research, York University",1
"1785",NA,"Dakshin Foundation",1
"1786",NA,"Danang Uni of Science and Education",1
"1787",NA,"Dave Ockwell - Consultant",1
"1788",NA,"De La Salle Health Sciences Institute",1
"1789",NA,"Deaftawk",1
"1790",NA,"Deciwatt Ltd",1
"1791",NA,"DeMontfort University",1
"1792",NA,"Denver University",1
"1793",NA,"Department of Basic Education (DBE)",1
"1794",NA,"Department of Coast Conservation",1
"1795",NA,"Development Data Lab, Inc.",1
"1796",NA,"Dhaka Medical College",1
"1797",NA,"Dialog",1
"1798",NA,"Disaster & Emergency Manage Auth  - AFAD",1
"1799",NA,"Divers Clean Action",1
"1800",NA,"DNV",1
"1801",NA,"Dokuz Eylul University",1
"1802",NA,"Dpsun Limited",1
"1803",NA,"Dr. A. V. Baliga Memorial Trust",1
"1804",NA,"Dr. Ram Manohar Lohia Hospital & PGIMER",1
"1805",NA,"Duke-NUS Graduate Medical School",1
